
---------- Begin Simulation Statistics ----------
final_tick                               546375689000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                 266352                       # Simulator instruction rate (inst/s)
host_mem_usage                                 643568                       # Number of bytes of host memory used
host_op_rate                                   266792                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                  3546.05                       # Real time elapsed on the host
host_tick_rate                              161177420                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                   942525265                       # Number of instructions simulated
sim_ops                                     944085022                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.576379                       # Number of seconds simulated
sim_ticks                                566378689000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                 150084447                       # number of cc regfile reads
system.cpu.cc_regfile_writes                150086252                       # number of cc regfile writes
system.cpu.committedInsts                   952525265                       # Number of Instructions Simulated
system.cpu.committedOps                     954085022                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               0.605106                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         0.605106                       # CPI: Total CPI of All Threads
system.cpu.idleCycles                           29908                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts              1305316                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                151355812                       # Number of branches executed
system.cpu.iew.exec_nop                         25974                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.701870                       # Inst execution rate
system.cpu.iew.exec_refs                    503952795                       # number of memory reference insts executed
system.cpu.iew.exec_stores                  125292826                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                 6763202                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts             391620403                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                103                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts              2926                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts            130479909                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts          1013575403                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts             378659969                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts           1655600                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts             980921371                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                 101474                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents               4094340                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                1322987                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles               5814702                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents          18090                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect       442306                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect         863010                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                 816522130                       # num instructions consuming a value
system.cpu.iew.wb_count                     978864290                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.785760                       # average fanout of values written-back
system.cpu.iew.wb_producers                 641590166                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.698301                       # insts written-back per cycle
system.cpu.iew.wb_sent                      980069017                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads               1143545901                       # number of integer regfile reads
system.cpu.int_regfile_writes               730702217                       # number of integer regfile writes
system.cpu.ipc                               1.652603                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         1.652603                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass                 2      0.00%      0.00% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu             468848946     47.72%     47.72% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                  136      0.00%     47.72% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv               1409811      0.14%     47.86% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd                   1      0.00%     47.86% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   1      0.00%     47.86% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt             4232126      0.43%     48.29% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult            1410298      0.14%     48.43% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     48.43% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     48.43% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc            1410823      0.14%     48.58% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  1      0.00%     48.58% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                   11      0.00%     48.58% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     48.58% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                    8      0.00%     48.58% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                    8      0.00%     48.58% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                    0      0.00%     48.58% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc                3699      0.00%     48.58% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     48.58% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     48.58% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift                  0      0.00%     48.58% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     48.58% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     48.58% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     48.58% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               0      0.00%     48.58% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     48.58% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     48.58% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt               0      0.00%     48.58% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     48.58% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     48.58% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult              0      0.00%     48.58% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     48.58% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     48.58% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     48.58% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     48.58% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     48.58% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     48.58% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     48.58% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     48.58% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     48.58% # Type of FU issued
